Family Office,Metro Area,AUM,LinkedIn,Website,Notes,City,Description,Connections,Action Items:,Discussed
Berylson Capital Partners,Boston,"$39,100,000,000.00 ",,,"James Berylson-warm connections-Owen Dugan, Dennis Hong, Isiah K (Will VC)
",Boston,"Berylson Capital Partners, under seasoned investor James Berylson, is a investment fund managing an portfolio valued at more than $39.1 billion. As of the latest disclosure, the fund's portfolio consists of 25 companies. While the disclosed portfolio value currently stands at $39.1 billion (As of November 7th, 2023), it's important to note that the actual total value may surpass this figure. This is attributed to undisclosed cash assets and other financial instruments, such as fixed income, real estate, or cash equivalents, which are not publicly disclosed",1st Tier Connections,,
Crosby Advisors,Boston,"$26,000,000,000.00 ",,,"Johnson family, David Zug connected to CIO
Dan Booras, Portfolio Manager:  Matt Blind, John Murray, Chris Whalen",Salem,"Crosby Advisors is a single-family office that manages the wealth of the Johnson family, the founders of the multi-billion-dollar financial services firm Fidelity Investments. Established in 2008 and based in Salem, New Hampshire, Crosby Advisors oversees a considerable portion of the Johnson family's assets, which are deeply intertwined with Fidelity Investments, one of the largest financial services groups globally. The family office was previously located in Massachusetts but moved to New Hampshire in 2010, a state known for its favorable base for private trusts and attractive conditions for family offices due to its low tax rates on trust income​",2nd Tier Connections,"TC: David Zug golf/dinner/
",checked
Pilot House,Boston,"$2,000,000,000.00 ",,https://www.pilothouse.com/,"know the family a little bit from Nantucket	

Weak connections for TAC
",Boston,"Pilot House is the family office of Amos Hostetter, Jr., focusing on early-stage investments in technology sectors such as enterprise software, network infrastructure, Internet, and communications.",Nada,,
2M Investment Partners,Boston,"$1,000,000,000.00 ",https://www.linkedin.com/company/2m-investment-partners/people/,http://www.2minvestors.com/,"rob biederman knows them

Tom O'rourke (Bay Pine, RFL, Bain) 1st Connection
Also, Philly (on LinkedIn)
",Boston,"2M Investment Partners is an investment partnership backed by a $1b+ family office. Our mandate is to own and operate a concentrated portfolio of high quality regional businesses. We bring entrepreneurial energy, long-term capital, and years of deal experience. For sellers interested in liquidity, retirement, or partnership, we offer a professional and flexible deal process. For businesses, we offer the next generation of dedicated leadership backed by patient and experienced institutional capital.",2nd Tier Connections,"TC: Tom O'rourke
",checked
Connors Family Office,Boston,"$1,000,000,000.00 ",https://www.linkedin.com/company/connors-family-office/,http://connorsfamilyoffice.com,"Camp Harbor View
Sharon McNally: CEO of the camp and Chief of staff/family office
Phil Swisher, Chuck Gordon, Sam Kennedy",Boston,"The Connors Family Office is a single-family office based in Boston, MA. The primary role of the firm is to provide financial services to the Connors family. The assets of the firm are managed and governed by an executive management team.",2nd Tier Connections,"TC: 
",checked
Old Mountain Private Trust Co.,Boston,"$1,000,000,000.00 ",https://www.linkedin.com/company/old-mountain/people/,,"Matt Salmon - CIO w/ 50+ mutual connections and lots of GPs, including Tom Melly, 
Paige Carlisle (analyst) John Dominguez, Emmet Bennett (Wellesley), ",Boston,"Old Mountain Private Trust Company is a single-family office based in Boston, Massachusetts. Established in 2007, the firm offers family office services including financial planning, estate planning, tax planning, investment services, and trust administration. The assets of the firm are managed by the executive management team.",2nd Tier Connections,"JT: Tom Melly, Alex Raffol ",checked
Raptor Group,Boston,"$1,000,000,000.00 ",https://www.linkedin.com/in/joshua-langsam-1352407/,https://www.raptorgroup.com/,"Investor in Pipe (Fika?); Also connected to RW3 Ventures
TAC connected to Josh Langsam (MD)-5/23; no email connect;--sent LinkedIn message
 ",Boston,"Raptor Group Holdings is a private investment company backed by the Family Office of Jim Pallotta. Mr. Pallotta has been a professional and personal investor for over 30 years. Prior to forming Raptor Group in 2009, Jim was most recently Vice Chairman of Tudor Investment Corporation, where he had responsibility for over $10B in long/short equities and pioneered Tudor's venture capital program and Tudor's outside managers' seeding business. Jim is currently President and Chairman of AS Roma (global football club), Co-Owner and Executive Board Member of the Boston Celtics, a Board Member of the Institute of Contemporary Art in Boston and Northeastern University, and is also a member of the MIT Media Labs Advisory Council. Raptor Group's culture is relentlessly entrepreneurial, opportunistic, flexible, and nimble; these values comprise the Firm's core DNA and manifest across every aspect of our business. We source and invest in companies across various stages and asset classes, ranging from early stage venture to both private and public equity. Raptor focuses on various industries including, but not limited to: Sports, Consumer, Technology, Media, Entertainment, Financial Services and Healthcare. Our key investment criteria is the opportunity to leverage the team's operating and strategic expertise and extensive global network to add value and drive results. We welcome the opportunity to begin a dialogue with entrepreneurs, operators, corporate executives, and other professional investors who seek experienced partners who share their vision to drive long-term outsized investment returns.",2nd Tier Connections,,
Aragain Capital Management,Boston,"$1,000,000,000.00 ",https://www.linkedin.com/search/results/people/?currentCompany=%5B%22511334%22%2C%2261933575%22%5D&keywords=Aragain%20Capital%20Management&origin=FACETED_SEARCH&sid=H%40C,,Connected to Alex pardy,Cambridge,"Aragain Capital Management is a Boston-based firm providing investment advisory services. Since 2006, we have helped manage the investment portfolio of an entrepreneur, investor, and philanthropist. We invest across all major asset classes, including public equities and fixed income, private equity and venture capital, and hedge funds, constructing a diversified portfolio designed to meet specific risk and return objectives.",1st Tier Connections,JT: Reaching out,checked
Cabot-Wellington,Boston,"$846,571,963.00 ",https://www.linkedin.com/company/cabot-wellington-llc/people/,https://cabotwellington.com/,"Laura Cabot Corrigan (board chair), connected to Chat Reynders (ECCF); ",Boston,"Founded in 1996, Cabot-Wellington, LLC stands as a distinguished single-family office, dedicated to serving the unique financial, investment, and lifestyle needs of the Cabot family. This exclusive resource operates as a comprehensive support system, offering financial advice, investment services, and general guidance across a diverse spectrum of family-oriented requirements. Cabot-Wellington's commitment extends beyond financial matters, encompassing a wide range of family-centric needs. The office serves as a trusted advisor, providing holistic support and personalized services to address the multifaceted requirements of the Cabot family. According to SEC filings, Cabot-Wellington manages an impressive portfolio exceeding $800 million in assets. The firm leverages its extensive experience to provide sophisticated investment management services, ensuring the preservation and growth of wealth for the descendants of Godfrey Lowell Cabot, the founder of Cabot Corp. Cabot-Wellington's legacy is rooted in the entrepreneurial spirit of Godfrey Lowell Cabot. The firm manages assets for the descendants of Thomas D. Cabot and Virginia Wellington Cabot, extending its services to multiple generations of the Cabot family. This enduring commitment to family wealth management reflects a deep understanding of the family's values and financial goals. In addition to individualized family services, Cabot-Wellington oversees the CW Funds, an investment vehicle exclusively available to Cabot family members. This bespoke fund management approach tailors investment strategies to align with the unique financial objectives of the family. Cabot-Wellington adopts a strategic approach to its operations by primarily outsourcing to NEPC (New England Pension Consultants). This partnership allows the family office to tap into the specialized expertise of NEPC, a renowned investment consulting firm. The collaboration enhances the depth and breadth of investment insights, contributing to a well-informed and diversified approach.",2nd Tier Connections,TC:  Chat Reynders---,checked
Cross Country Group LLC,Boston,"$500,000,000.00 ",,http://www.ccgroup.com/,Existing Client--Wolk Family,Medford,"The Cross Country Group (CCG) stands as more than just managers of operating businesses; it is a dynamic force in the realm of strategic partnerships and collaborative growth. CCG actively partners with top-level co-investors, extending its wealth of resources to assist emerging companies in their journey towards expansion and success. In a landscape where strategic support is crucial, CCG positions itself as a preferred partner for emerging companies and investors. The essence of this collaboration lies in the synergy created by marrying CCG's multifaceted strengths with the vision and potential of its partners. This strategic partnership goes beyond traditional investment models, fostering an environment where shared expertise leads to mutual success. Key Components of Partnership: Client Relationships: CCG boasts extensive client relationships cultivated over time. These relationships become invaluable assets for the companies it partners with, offering access to a broad network of opportunities, potential clients, and market insights. Operating Expertise: CCG brings a wealth of operational expertise to the table. This includes insights gained from managing and developing its own operating businesses, providing valuable guidance to emerging companies in crafting effective operational strategies. Marketing and Technical Know-How: Leveraging years of experience, CCG contributes not only marketing prowess but also technical know-how. This holistic approach ensures that partner companies benefit from a comprehensive set of skills to enhance their market presence and operational efficiency. Access to Human Capital: Recognizing the importance of talent, CCG opens doors to a pool of talented professionals. By facilitating access to skilled human capital, CCG helps its partners build teams that are not only capable but aligned with their growth objectives.",Moved to Affinity,Client,checked
